,zpid,price,city,latitude,longitude,bathrooms,bedrooms,living_area,lot_area,lot_area_unit,days_on_zillow,lot_sqft
1567,16929438.0,995000.0,San Diego,32.80522,-117.15885,2.0,4.0,1296.0,0.16,sqft,1.4971875,0.16
1569,16856556.0,18495000.0,La Jolla,32.821774,-117.25475,7.0,6.0,8586.0,0.93,acres,4.262604166666667,40510.8
1570,17133469.0,899000.0,San Diego,32.68402,-117.046555,2.0,4.0,1400.0,7017.0,sqft,27.4971875,7017.0
1571,16838648.0,15950000.0,La Jolla,32.857246,-117.25125,5.0,5.0,6433.0,0.4599999999999999,acres,49.3771875,20037.599999999995
1572,52511509.0,1359000.0,San Diego,32.958607,-117.142815,2.0,4.0,1482.0,7031.0,sqft,26.714699074074073,7031.0
1573,16966912.0,2550000.0,San Diego,32.73869,-117.2236,5.0,4.0,2626.0,6969.6,sqft,124.36714120370371,6969.6
1574,17086016.0,599000.0,San Diego,32.702534,-117.11487,2.0,2.0,735.0,2500.0,sqft,43.4971875,2500.0
1576,16922214.0,5495000.0,San Diego,32.783287,-117.23913,4.0,4.0,3209.0,5400.0,sqft,102.87334490740741,5400.0
1577,16807145.0,1199900.0,San Diego,32.964363,-117.120804,2.0,3.0,1593.0,5227.2,sqft,5.7654861111111115,5227.2
1579,140081239.0,2250000.0,San Diego,32.95595,-117.1981,3.0,4.0,2627.0,5227.2,sqft,26.853194444444444,5227.2
1580,17013016.0,749900.0,San Diego,32.7434,-117.07328,2.0,3.0,1000.0,5227.2,sqft,13.503113425925926,5227.2
1583,17196885.0,1389000.0,San Diego,32.793076,-117.04775,2.0,4.0,2036.0,0.2799999999999999,acres,7.304594907407408,12196.799999999996
1584,16950457.0,669000.0,San Diego,32.754375,-117.2237,2.0,2.0,1054.0,2.33,acres,90.81324074074074,101494.8
1585,17190256.0,645000.0,San Diego,32.6951,-117.0641,2.0,3.0,1337.0,8116.0,sqft,138.47876157407407,8116.0
1588,16907772.0,2499000.0,San Diego,32.811665,-117.25565,2.0,3.0,1587.0,6300.0,sqft,5.799837962962963,6300.0
1589,16856378.0,30000000.0,La Jolla,32.813255,-117.25922,11.0,8.0,12509.0,0.91,acres,20.904340277777777,39639.6
1590,17075567.0,1499000.0,San Diego,32.73053,-117.12937,2.0,3.0,1732.0,4900.0,sqft,26.67128472222222,4900.0
1591,16799585.0,1399999.0,San Diego,32.972515,-117.07535,2.0,3.0,1736.0,3920.0,sqft,4.571087962962963,3920.0
