,price,bed,bath,lot_sqft,lot_living,lat,long,income,poverty,unemployment,bachelor,rent,area_home_value,owner_occ,pop_density,risk_fire,risk_earthquake,risk_heat,dist_city,dist_airport,dist_coast
3780,9995000.0,3.0,4.0,69852.81599999999,3433.0,34.017887,-118.82375,198594.0,0.0631536604987932,0.0541516245487364,0.7425641025641025,3501.0,2000001.0,0.7871657754010695,275.04883333821994,97.97723948485604,90.68174521065964,5.238571905238572,53.5857148228347,39.2172747085372,30.649851583397684
3781,9950000.0,7.0,6.0,55952.82,6863.0,34.033775,-118.8367,198594.0,0.0631536604987932,0.0541516245487364,0.7425641025641025,3501.0,2000001.0,0.7871657754010695,275.04883333821994,97.97723948485604,90.68174521065964,5.238571905238572,54.67628665465193,40.78801264342769,31.87941772005161
3782,14500000.0,5.0,6.0,121968.0,6800.0,34.033627,-118.7998,239063.0,0.0783483324510322,0.0713513513513513,0.6460361613351877,3501.0,2000001.0,0.8657534246575342,22.18253329520752,99.21634380982958,90.5449918542566,5.924972591639258,51.27965043676873,37.50034821520067,28.48269987627968
3783,4995000.0,2.0,3.0,151850.16,2346.0,34.030766,-118.760216,192500.0,0.1581381902283897,0.122463768115942,0.6194931773879142,2217.0,2000001.0,0.8410364145658263,482.48731413954175,95.12682387356854,95.13158051205212,8.247533247533248,47.65129985844895,33.91001027959509,24.82349546096077
3785,3950000.0,4.0,6.0,37081.0,3448.0,34.028427,-118.764175,192500.0,0.1581381902283897,0.122463768115942,0.6194931773879142,2217.0,2000001.0,0.8410364145658263,482.48731413954175,95.12682387356854,95.13158051205212,8.247533247533248,48.02989974603333,34.18531369124487,25.17664016518889
3786,11999000.0,6.0,5.0,5323.032,4123.0,34.032658,-118.742805,189028.0,0.0587288817377312,0.1027397260273972,0.8234750462107209,3501.0,1653200.0,0.7344632768361582,102.90376625896366,97.78459562627091,92.57131984826324,14.950664950664953,46.03821404696676,32.44298791082737,23.23316751726388
3787,1899000.0,3.0,3.0,14849.604,2620.0,34.06161,-118.740524,189028.0,0.0587288817377312,0.1027397260273972,0.8234750462107209,3501.0,1653200.0,0.7344632768361582,102.90376625896366,97.78459562627091,92.57131984826324,14.950664950664953,45.78088016025196,33.38958434493463,23.445260663014547
3788,19950000.0,4.0,5.0,8062.956,4836.0,34.03227,-118.72618,189028.0,0.0587288817377312,0.1027397260273972,0.8234750462107209,3501.0,1653200.0,0.7344632768361582,102.90376625896366,97.78459562627091,92.57131984826324,14.950664950664953,44.51040513881398,30.97643141785056,21.70150458051656
3789,18850000.0,4.0,6.0,114937.416,8385.0,34.018673,-118.80494,192500.0,0.1581381902283897,0.122463768115942,0.6194931773879142,2217.0,2000001.0,0.8410364145658263,482.48731413954175,95.12682387356854,95.13158051205212,8.247533247533248,51.85038932373457,37.54549005572965,28.91572503360669
3790,4295000.0,4.0,3.0,29045.808,2436.0,34.02998,-118.75687,192500.0,0.1581381902283897,0.122463768115942,0.6194931773879142,2217.0,2000001.0,0.8410364145658263,482.48731413954175,95.12682387356854,95.13158051205212,8.247533247533248,47.34808832168103,33.589579779028654,24.511336832497555
3791,13000000.0,4.0,6.0,53012.52,8545.0,34.04178,-118.690315,182159.0,0.2076771653543307,0.015625,0.7084161696487741,3501.0,2000001.0,0.6283566058002148,94.895203091481,99.47320228794312,97.86902595935452,9.845559845559846,41.16464636140677,28.26894357783436,18.515263580776693
3792,9240000.0,7.0,8.0,206931.78,10000.0,34.063213,-118.648926,225729.0,0.04586541680616,0.017094017094017,0.726827276439363,3501.0,2000001.0,0.7870370370370371,112.7358186492445,99.63017135790138,93.02438966382458,12.629295962629298,37.35037767637552,25.962741989385663,15.324178274394352
3794,3150000.0,4.0,4.0,8032.464,3500.0,34.0436,-118.742516,189028.0,0.0587288817377312,0.1027397260273972,0.8234750462107209,3501.0,1653200.0,0.7344632768361582,102.90376625896366,97.78459562627091,92.57131984826324,14.950664950664953,45.96725924907394,32.81619008291419,23.31345469356907
